,"United Airlines Holdings Inc - GJR-GARCH Volatility"
2010-11-15,0.38277806833725464
2010-11-16,0.3781467381850596
2010-11-17,0.37147535584477204
2010-11-18,0.36888086857412383
2010-11-19,0.36621447158734727
2010-11-22,0.359703142605121
2010-11-23,0.3697344641766575
2010-11-24,0.37861280327004265
2010-11-25,0.37166437117377826
2010-11-26,0.36819236493985047
2010-11-29,0.3735255846658968
2010-11-30,0.37440884124176343
2010-12-01,0.3722254929474874
2010-12-02,0.36620094975300105
2010-12-03,0.3663108991007502
2010-12-06,0.3739575173732974
2010-12-07,0.4149213139861581
2010-12-08,0.4107916245494789
2010-12-09,0.40840502837257037
2010-12-10,0.40058574363049915
2010-12-13,0.41840113670973694
2010-12-14,0.4295234973781993
2010-12-15,0.43097505496258137
2010-12-16,0.42536237774396546
2010-12-17,0.41870680911587765
2010-12-20,0.410534109666907
2010-12-21,0.4027175864051631
2010-12-22,0.39512217705413605
2010-12-23,0.42305158408874916
2010-12-24,0.41470209596769586
2010-12-27,0.4066113810507522
2010-12-28,0.39951260756076273
2010-12-29,0.39237400372603687
2010-12-30,0.38890512930533583
2010-12-31,0.3829808835960354
2011-01-03,0.3968454565696828
2011-01-04,0.3911199442626264
2011-01-05,0.38483939195461786
2011-01-06,0.37951947934197
2011-01-07,0.3729953699444539
2011-01-10,0.36693697442476414
2011-01-11,0.3690580686016768
2011-01-12,0.36293562073734237
2011-01-13,0.35653978571822814
2011-01-14,0.3505354823694743
2011-01-17,0.3445078733497974
2011-01-18,0.36529615765841283
2011-01-19,0.3738157749480351
2011-01-20,0.3685357176719781
2011-01-21,0.36913880316217096
2011-01-24,0.3643548846934812
2011-01-25,0.3579055573751266
2011-01-26,0.3871870245759793
2011-01-27,0.39432526776761345
2011-01-28,0.42269322492796124
2011-01-31,0.4204153845900504
2011-02-01,0.4127548798015597
2011-02-02,0.41274584383128565
2011-02-03,0.4129555433699855
2011-02-04,0.40492344165286354
2011-02-07,0.4033124218270496
2011-02-08,0.3966765402692728
2011-02-09,0.3896511378143274
2011-02-10,0.3824580777026418
2011-02-11,0.380877481088079
2011-02-14,0.3774939946542196
2011-02-15,0.37123143347513016
2011-02-16,0.3653931378665998
2011-02-17,0.3589015592053063
2011-02-18,0.36133047643397037
2011-02-21,0.35494501489667385
2011-02-22,0.524284071854181
2011-02-23,0.5867227556521053
2011-02-24,0.5892141749822385
2011-02-25,0.5766230068250833
2011-02-28,0.5638275693862442
2011-03-01,0.5786145971197063
2011-03-02,0.5729235027470945
2011-03-03,0.5627861192318091
2011-03-04,0.5672874826752307
2011-03-07,0.565400633179695
2011-03-08,0.5716412266448249
2011-03-09,0.5638237703396337
2011-03-10,0.554555887174593
2011-03-11,0.5435026734064884
2011-03-14,0.5456359555601152
2011-03-15,0.5375568732701685
2011-03-16,0.5431265156480578
2011-03-17,0.5443407866401342
2011-03-18,0.5469384243221534
2011-03-21,0.5383005591674599
2011-03-22,0.5339692238322356
2011-03-23,0.525466352871428
2011-03-24,0.5154474949012751
2011-03-25,0.5043401352262181
2011-03-28,0.49366100352367315
2011-03-29,0.4937192449155694
2011-03-30,0.49322560882419725
2011-03-31,0.5046620651485507
2011-04-01,0.49394380044697395
2011-04-04,0.484633281977208
