,"American Airlines Group Inc - GJR-GARCH Volatility"
2022-11-14,0.4509448959684542
2022-11-15,0.4443787992242654
2022-11-16,0.45682384920229374
2022-11-17,0.4512324602685406
2022-11-18,0.4445330475903901
2022-11-21,0.44083785590622776
2022-11-22,0.43453724489392165
2022-11-23,0.4320923817888948
2022-11-25,0.42576107807078845
2022-11-28,0.45298238508798555
2022-11-29,0.4480390795455236
2022-11-30,0.44290573940738226
2022-12-01,0.450979709521393
2022-12-02,0.4440841582403047
2022-12-05,0.43775589636234485
2022-12-06,0.4321725655337229
2022-12-07,0.4713552265542411
2022-12-08,0.46403714506491833
2022-12-09,0.4572139919118836
2022-12-12,0.45953966705824206
2022-12-13,0.49208147618052034
2022-12-14,0.48514810151128074
2022-12-15,0.49125218289591344
2022-12-16,0.48460346016098566
2022-12-19,0.4861759755479491
2022-12-20,0.47852884427169073
2022-12-21,0.47688960986794415
2022-12-22,0.487823084324635
2022-12-23,0.48061322453715316
2022-12-27,0.47583383864538265
2022-12-28,0.4723300761120342
2022-12-29,0.46854472529311436
2022-12-30,0.46124728682128857
2023-01-03,0.45411728837382975
2023-01-04,0.46385534727973116
2023-01-05,0.4600062069146459
2023-01-06,0.45362749916644163
2023-01-09,0.4502947914422284
2023-01-10,0.4496023843353147
2023-01-11,0.44312906065840457
2023-01-12,0.47097463116393007
2023-01-13,0.46410771034319176
2023-01-17,0.45695156242210183
2023-01-18,0.4596993260817336
2023-01-19,0.4594515896152717
2023-01-20,0.45240754370368313
2023-01-23,0.4470733792119589
2023-01-24,0.4415484589487319
2023-01-25,0.4357915570545166
2023-01-26,0.43116627465514973
2023-01-27,0.4265486171587009
2023-01-30,0.43312055088624
2023-01-31,0.4271715622557289
2023-02-01,0.42566657374052763
2023-02-02,0.4214426224291985
2023-02-03,0.41531826639337693
2023-02-06,0.4098070233658765
2023-02-07,0.40389861351581785
2023-02-08,0.3981086359274313
2023-02-09,0.398077618059594
2023-02-10,0.40119583148382787
2023-02-13,0.39637673443329136
2023-02-14,0.3920858513132041
2023-02-15,0.386582532973232
2023-02-16,0.3915390003562864
2023-02-17,0.38610419111944383
2023-02-21,0.4096640286869229
2023-02-22,0.40485292440588844
2023-02-23,0.4008141913655253
2023-02-24,0.4014832828400206
2023-02-27,0.39584290975082526
2023-02-28,0.3925332159193666
2023-03-01,0.3870633436532062
2023-03-02,0.38183111868992553
2023-03-03,0.3776348236060864
2023-03-06,0.3762983029459474
2023-03-07,0.37225440010831307
2023-03-08,0.3682061900620357
2023-03-09,0.39621976629138533
2023-03-10,0.40245665853604656
2023-03-13,0.4225576027005076
2023-03-14,0.4189153293924681
2023-03-15,0.4599326289795061
2023-03-16,0.45421289149472627
2023-03-17,0.44868377505766804
2023-03-20,0.44186421036331963
2023-03-21,0.43867280243935797
2023-03-22,0.4545123879499876
2023-03-23,0.45031784774756595
2023-03-24,0.4436083150708517
2023-03-27,0.43793224407435455
2023-03-28,0.4313675453716935
2023-03-29,0.42784272577665733
2023-03-30,0.42178041633058305
2023-03-31,0.41717134465348893
2023-04-03,0.41912338517434217
2023-04-04,0.41817422158712747
2023-04-05,0.41787868287339086
