,"US Global Jets ETF - GJR-GARCH Volatility"
2016-01-27,0.28817833228749173
2016-01-28,0.3140713110107321
2016-01-29,0.31197681259991106
2016-02-01,0.30481018683764494
2016-02-02,0.365020768724192
2016-02-03,0.3514968790757608
2016-02-04,0.3387744205219751
2016-02-05,0.38721810133308593
2016-02-08,0.39455421072395114
2016-02-09,0.3810382232795025
2016-02-10,0.36851663951577546
2016-02-11,0.3586704799673372
2016-02-12,0.34867567853235765
2016-02-16,0.34200915250911046
2016-02-17,0.3386499130370478
2016-02-18,0.32578234206291784
2016-02-19,0.315164357121804
2016-02-22,0.30955664812760847
2016-02-23,0.29855205978187455
2016-02-24,0.2902684908838712
2016-02-25,0.2817163892995933
2016-02-26,0.2757537270826997
2016-02-29,0.26627200303449106
2016-03-01,0.26316937055820155
2016-03-02,0.25615145441710846
2016-03-03,0.24871524199373066
2016-03-04,0.24070381800046295
2016-03-07,0.23365102439321767
2016-03-08,0.26467941665343003
2016-03-09,0.2572186144119434
2016-03-10,0.2488265178794254
2016-03-11,0.24500280569822053
2016-03-14,0.23751457555274372
2016-03-15,0.2324590647834582
2016-03-16,0.2274002612135703
2016-03-17,0.22073901331663145
2016-03-18,0.22080093749800975
2016-03-21,0.215148546822887
2016-03-22,0.21671808138685614
2016-03-23,0.21102004264998148
2016-03-24,0.2259049003452559
2016-03-28,0.2209951583180048
2016-03-29,0.2174758910776089
2016-03-30,0.21238021094254522
2016-03-31,0.21140797998183514
2016-04-01,0.21731870789234875
2016-04-04,0.2125700336359761
2016-04-05,0.21156169312992368
2016-04-06,0.20600989296633304
2016-04-07,0.21731922970597886
2016-04-08,0.21238501642065052
2016-04-11,0.20686128395618159
2016-04-12,0.20207369348829154
2016-04-13,0.20380370556003147
2016-04-14,0.20169897570389395
2016-04-15,0.1968885715322248
2016-04-18,0.1920856777586502
2016-04-19,0.18836192290375461
2016-04-20,0.18505080707740781
2016-04-21,0.23198571507745905
2016-04-22,0.24838136886650738
2016-04-25,0.24749971636347382
2016-04-26,0.24018550081135204
2016-04-27,0.23270647863778954
2016-04-28,0.24258117981409855
2016-04-29,0.24267195635260372
2016-05-02,0.23529598041615585
2016-05-03,0.23060557235244772
2016-05-04,0.26342792790438907
2016-05-05,0.2547719050444927
2016-05-06,0.2465408688230006
2016-05-09,0.23923446908838203
2016-05-10,0.23414414790893237
2016-05-11,0.23362999208149623
2016-05-12,0.26529755671698146
2016-05-13,0.25633122868663505
2016-05-16,0.2505094417382307
2016-05-17,0.24268260011793183
2016-05-18,0.23516437230158826
2016-05-19,0.23922851753083285
2016-05-20,0.23181233530595388
2016-05-23,0.22509201318571923
2016-05-24,0.2210757055852135
2016-05-25,0.21479722623907413
2016-05-26,0.2157691933525266
2016-05-27,0.21003131766477112
2016-05-31,0.20444998019075475
2016-06-01,0.19962406668535734
2016-06-02,0.1978152228722552
2016-06-03,0.20111034284690582
2016-06-06,0.1962554050211102
2016-06-07,0.2015386781736945
2016-06-08,0.19659204866931926
2016-06-09,0.19388487305615154
2016-06-10,0.20950844469853716
2016-06-13,0.26257007064781773
2016-06-14,0.29530672461019236
2016-06-15,0.28466529398576146
2016-06-16,0.2844819438909964
2016-06-17,0.27457387858279597
2016-06-20,0.26765776058242735
2016-06-21,0.2596355229932915
2016-06-22,0.2514023913967407
2016-06-23,0.24376871743519513
2016-06-24,0.427792834442093
2016-06-27,0.46421005030050777
2016-06-28,0.4508043571218007
2016-06-29,0.43905109360984407
2016-06-30,0.4217822684750984
2016-07-01,0.40631695214450503
2016-07-05,0.3997813507406267
2016-07-06,0.3860987412566894
2016-07-07,0.37262200901181347
2016-07-08,0.3623539242232655
2016-07-11,0.3512944303572148
2016-07-12,0.36358164805171345
2016-07-13,0.3534153562028679
2016-07-14,0.34714579818859975
2016-07-15,0.33657505789942305
2016-07-18,0.3237208408490253
2016-07-19,0.31424276984522653
2016-07-20,0.3031443339401217
2016-07-21,0.3469973884627952
2016-07-22,0.33704017742696496
2016-07-25,0.32804081880156316
2016-07-26,0.319236708415558
2016-07-27,0.3099202820081319
2016-07-28,0.29878016801655366
2016-07-29,0.29306693365168307
2016-08-01,0.28255995257643995
2016-08-02,0.35369073270302115
2016-08-03,0.3399312642285202
2016-08-04,0.3275262994020481
2016-08-05,0.3220679058832159
2016-08-08,0.31030371186951666
2016-08-09,0.29887765256037463
2016-08-10,0.29096595883367526
2016-08-11,0.2817704129251331
2016-08-12,0.27287355533286844
2016-08-15,0.2656055654537382
2016-08-16,0.25668622713344014
2016-08-17,0.24823659842980447
2016-08-18,0.24047998502993964
2016-08-19,0.23551853430250455
2016-08-22,0.2301003754886115
2016-08-23,0.2240622538492372
2016-08-24,0.21753723819153353
2016-08-25,0.21142287955658914
2016-08-26,0.21499704649134138
2016-08-29,0.20907444033166753
2016-08-30,0.21139194686647833
2016-08-31,0.20939276205255997
2016-09-01,0.2042414453532877
2016-09-02,0.20164524492285954
2016-09-06,0.1977199109852116
2016-09-07,0.21192622584286258
2016-09-08,0.206402546495919
2016-09-09,0.24146144039991146
2016-09-12,0.2347878352896504
2016-09-13,0.2506352042311694
2016-09-14,0.2577468711740261
2016-09-15,0.2502987071480794
2016-09-16,0.26302948199774107
2016-09-19,0.2545437612670953
2016-09-20,0.24636673639109644
2016-09-21,0.23849418106109002
2016-09-22,0.23226151898237468
2016-09-23,0.22542578113427933
2016-09-26,0.23339079159212772
2016-09-27,0.2357576603209321
2016-09-28,0.22850316059083298
2016-09-29,0.22196121553100218
2016-09-30,0.21703529390401
2016-10-03,0.21599512494498574
2016-10-04,0.2100636503538868
2016-10-05,0.2048840023037426
2016-10-06,0.19991558818661442
2016-10-07,0.21157997636827547
2016-10-10,0.21070698991727826
2016-10-11,0.21291224671211378
2016-10-12,0.2071780191043442
2016-10-13,0.20830572531738056
2016-10-14,0.20323090316189615
2016-10-17,0.1995498884990919
2016-10-18,0.19771430297274906
2016-10-19,0.1985731522638446
2016-10-20,0.19606720276476633
2016-10-21,0.19580965757592242
2016-10-24,0.1910608311507097
2016-10-25,0.18792762436640334
2016-10-26,0.20247385609011354
2016-10-27,0.19735448411424558
2016-10-28,0.1925800270017636
2016-10-31,0.18961732515780302
2016-11-01,0.18793493235691977
2016-11-02,0.18371757999712493
2016-11-03,0.18132809048793294
2016-11-04,0.17921321045056918
2016-11-07,0.1893164018250928
2016-11-08,0.18727109227000305
2016-11-09,0.18649506695888768
2016-11-10,0.183893960749123
2016-11-11,0.18130918895632397
2016-11-14,0.18578030896733919
2016-11-15,0.18885434387379074
2016-11-16,0.18997873249392944
2016-11-17,0.19391794862776374
2016-11-18,0.19042330739696756
2016-11-21,0.1861712985398125
2016-11-22,0.18241253246419228
2016-11-23,0.17949499157358126
2016-11-25,0.17591318540689327
2016-11-28,0.1756290294911408
2016-11-29,0.17293584243874954
2016-11-30,0.18038917927636347
2016-12-01,0.1774086874986679
2016-12-02,0.1765838327820528
2016-12-05,0.18004862343267164
2016-12-06,0.18523952278064204
2016-12-07,0.19651884184474525
2016-12-08,0.1918108318109277
2016-12-09,0.19108127380777007
2016-12-12,0.22968460026741017
2016-12-13,0.22310704515994112
2016-12-14,0.21848536793112716
2016-12-15,0.21871183507071582
2016-12-16,0.21489927035706755
2016-12-19,0.2096467228458389
2016-12-20,0.2063032622136645
2016-12-21,0.20087049260655485
2016-12-22,0.20820571461897966
2016-12-23,0.2029286219339204
