,"Delta Air Lines Inc - GJR-GARCH Volatility"
2015-04-17,0.32288510959782585
2015-04-20,0.3192071841296809
2015-04-21,0.31347727955946025
2015-04-22,0.30745471276270914
2015-04-23,0.30152364683387606
2015-04-24,0.29660149021877824
2015-04-27,0.2953847958172526
2015-04-28,0.2907486646572947
2015-04-29,0.3078363019528399
2015-04-30,0.30428777431898246
2015-05-01,0.30177978063481986
2015-05-04,0.29816911107624816
2015-05-05,0.3244761057458622
2015-05-06,0.31799971698100615
2015-05-07,0.3170182543640035
2015-05-08,0.31264173233911047
2015-05-11,0.3076288354494747
2015-05-12,0.30931937863638614
2015-05-13,0.30460082468699917
2015-05-14,0.29979860239834344
2015-05-15,0.29646237400385234
2015-05-18,0.29119871153561105
2015-05-19,0.3068368674067704
2015-05-20,0.39769393608653375
2015-05-21,0.38861369147264996
2015-05-22,0.38436615823977016
2015-05-26,0.401345233932085
2015-05-27,0.39344867670383643
2015-05-28,0.38561796949831056
2015-05-29,0.3782193696784976
2015-06-01,0.3755898497031037
2015-06-02,0.38549878599030635
2015-06-03,0.3767711358371286
2015-06-04,0.3698485755008392
2015-06-05,0.3616387451587565
2015-06-08,0.4229810506393874
2015-06-09,0.413057806124034
2015-06-10,0.40378638610037365
2015-06-11,0.39550567783535046
2015-06-12,0.38681315954863793
2015-06-15,0.38113278473518913
2015-06-16,0.37282794959605703
2015-06-17,0.36469155460470976
2015-06-18,0.3576711925777641
2015-06-19,0.3512288228491506
2015-06-22,0.34652123571290694
2015-06-23,0.3391786520404845
2015-06-24,0.33521255227094343
2015-06-25,0.32822167935710767
2015-06-26,0.32250667527975296
2015-06-29,0.342762644405717
2015-06-30,0.33548149993703086
2015-07-01,0.34049487220808483
2015-07-02,0.33464667456886527
2015-07-06,0.3284965808041234
2015-07-07,0.32353349192935194
2015-07-08,0.33613512283009045
2015-07-09,0.3295985958707955
2015-07-10,0.3358397617912447
2015-07-13,0.33153965735640134
2015-07-14,0.324891263040421
2015-07-15,0.31855747173783255
2015-07-16,0.31284817020401445
2015-07-17,0.30730439632390555
2015-07-20,0.3132920496916575
2015-07-21,0.30805422249987097
2015-07-22,0.3030301767151252
