,"Southwest Airlines Co - GJR-GARCH Volatility"
2018-06-08,0.26815633872798905
2018-06-11,0.26417833067835067
2018-06-12,0.25851888286931773
2018-06-13,0.2545219801903168
2018-06-14,0.25252994277906926
2018-06-15,0.24834220342100538
2018-06-18,0.24434513623151988
2018-06-19,0.2494588879955974
2018-06-20,0.24576645255201127
2018-06-21,0.2522746503317367
2018-06-22,0.27694797634212825
2018-06-25,0.27772237144313744
2018-06-26,0.27117023730490775
2018-06-27,0.2775484173977578
2018-06-28,0.27163300830348286
2018-06-29,0.2656081745729977
2018-07-02,0.26329334514947395
2018-07-03,0.25771533830953874
2018-07-05,0.2535431253258506
2018-07-06,0.2549423723118619
2018-07-09,0.25216269747922665
2018-07-10,0.24886839172542582
2018-07-11,0.2489682124288159
2018-07-12,0.2450890352504575
2018-07-13,0.24190973936573948
2018-07-16,0.2381952845880875
2018-07-17,0.23497837772867528
2018-07-18,0.23566336499337354
2018-07-19,0.23281084768541177
2018-07-20,0.23247418695416489
2018-07-23,0.22976243034926316
2018-07-24,0.28039845648647926
2018-07-25,0.27445444867955776
2018-07-26,0.378791105492196
2018-07-27,0.3770445591703983
2018-07-30,0.36543837729499623
2018-07-31,0.3523622641543785
2018-08-01,0.3716032755506873
2018-08-02,0.3579205191100393
2018-08-03,0.34758118591201104
2018-08-06,0.33617016940829236
2018-08-07,0.32532769633094566
2018-08-08,0.3175329362444154
2018-08-09,0.3077701505994368
2018-08-10,0.29860345945752204
2018-08-13,0.29045430483984913
2018-08-14,0.28298873899856863
2018-08-15,0.28419270926608936
2018-08-16,0.2858510514236392
2018-08-17,0.27854672857529666
2018-08-20,0.29174741335614274
2018-08-21,0.2866654830983319
2018-08-22,0.281177150565262
2018-08-23,0.2749666394310408
2018-08-24,0.2684098105509558
2018-08-27,0.26248310345620346
2018-08-28,0.2579667606495069
2018-08-29,0.25301137049547795
2018-08-30,0.2506916536305108
2018-08-31,0.24756487149836104
2018-09-04,0.24614011863164442
2018-09-05,0.24719397080026045
2018-09-06,0.24507638809154994
2018-09-07,0.24558068898022092
2018-09-10,0.24370022076313347
2018-09-11,0.24109771711901382
2018-09-12,0.27367927798793973
2018-09-13,0.2724121979647754
2018-09-14,0.2660875329661275
2018-09-17,0.2626448240495137
2018-09-18,0.25714752652903355
2018-09-19,0.25210707725091736
2018-09-20,0.25270351798105223
2018-09-21,0.2568046962187413
2018-09-24,0.28943307205639096
2018-09-25,0.28384436862478
2018-09-26,0.27755690659754806
2018-09-27,0.272764421433588
2018-09-28,0.26727354077798277
2018-10-01,0.26896279445306187
2018-10-02,0.2666178771200461
2018-10-03,0.262134850029522
2018-10-04,0.2567894857660648
2018-10-05,0.25581718941462867
2018-10-08,0.2536092119777986
2018-10-09,0.26776337613646867
2018-10-10,0.3259780231856129
2018-10-11,0.3166390159156007
2018-10-12,0.30746045013952605
2018-10-15,0.2988157586205922
2018-10-16,0.2990080179526964
2018-10-17,0.29088553212561125
2018-10-18,0.30412785535034437
2018-10-19,0.2954021137365134
2018-10-22,0.2881643406113949
2018-10-23,0.28276985977999847
2018-10-24,0.38647727488171935
2018-10-25,0.5997997465821405
2018-10-26,0.5725246405177685
2018-10-29,0.5747466363537937
2018-10-30,0.5543911362927803
2018-10-31,0.528822007862759
2018-11-01,0.5194067654545905
2018-11-02,0.4991026816197245
2018-11-05,0.47864634376541515
2018-11-06,0.4586153290067832
2018-11-07,0.44369380117373736
2018-11-08,0.42533642825415274
2018-11-09,0.4085252090140828
2018-11-12,0.39681199024223046
2018-11-13,0.3849366529703297
2018-11-14,0.371036051078598
2018-11-15,0.36033059320573935
2018-11-16,0.3532548853165374
2018-11-19,0.34125942448524405
2018-11-20,0.3398587918533225
2018-11-21,0.3311447073410656
2018-11-23,0.321367639939058
2018-11-26,0.3112106881198009
2018-11-27,0.30178658618301774
2018-11-28,0.29363883530623125
2018-11-29,0.2857255312358348
2018-11-30,0.29086911489534256
2018-12-03,0.28396792494928014
2018-12-04,0.3091770599510902
2018-12-06,0.30399268083294373
2018-12-07,0.3706605805855271
2018-12-10,0.3576143654832674
2018-12-11,0.344834542933274
2018-12-12,0.33342815717932406
2018-12-13,0.3275339548810169
2018-12-14,0.31794701445366647
2018-12-17,0.3167687541409348
2018-12-18,0.3072367770954513
2018-12-19,0.3107019575091216
2018-12-20,0.3548578909930002
2018-12-21,0.364854040405201
2018-12-24,0.39498560530733273
2018-12-26,0.4152454180361296
2018-12-27,0.39849846373606007
2018-12-28,0.3828613070029407
2018-12-31,0.3696123066132945
2019-01-02,0.35897355668628295
2019-01-03,0.38702095757206745
2019-01-04,0.4047625348275208
2019-01-07,0.38867697590672906
2019-01-08,0.37544355527828677
2019-01-09,0.37641119430750203
2019-01-10,0.36238775641569354
2019-01-11,0.3528596021082606
2019-01-14,0.34075096126056637
2019-01-15,0.3340567933750188
2019-01-16,0.32311526426338943
2019-01-17,0.3173105261411919
2019-01-18,0.3139036520972638
2019-01-22,0.3222193513741843
2019-01-23,0.31352120885196905
2019-01-24,0.36411155598250383
2019-01-25,0.35390124554739844
2019-01-28,0.3428544589180663
2019-01-29,0.33487194388303126
2019-01-30,0.3301477850902532
2019-01-31,0.32628524637194367
2019-02-01,0.31644898735815224
2019-02-04,0.3137493974496206
2019-02-05,0.3063773849356379
2019-02-06,0.29833382912435524
2019-02-07,0.29014049562237954
2019-02-08,0.28252035183327945
2019-02-11,0.2776718710996849
2019-02-12,0.27592232820125306
2019-02-13,0.269828158649167
2019-02-14,0.26369210909695423
2019-02-15,0.2595080530542357
2019-02-19,0.2542589750628284
2019-02-20,0.3945459075950478
2019-02-21,0.37927289014639576
2019-02-22,0.37105048335772317
2019-02-25,0.3578793288246752
2019-02-26,0.3460244372873107
2019-02-27,0.33416087921837895
2019-02-28,0.34887693818881177
2019-03-01,0.3735492979514217
2019-03-04,0.3629903304497243
2019-03-05,0.3508456224609337
2019-03-06,0.3400561177217666
2019-03-07,0.3344094227141335
2019-03-08,0.3300299877283881
2019-03-11,0.3196037578001861
2019-03-12,0.33364945316904093
2019-03-13,0.3228318385785392
2019-03-14,0.3145687447919771
2019-03-15,0.3051817058737302
2019-03-18,0.29770124487479055
2019-03-19,0.2914304136496395
2019-03-20,0.3037034408761284
2019-03-21,0.3027022239759728
2019-03-22,0.3295997427183462
2019-03-25,0.32585322769615155
2019-03-26,0.3153468490408617
2019-03-27,0.31408418871379057
2019-03-28,0.307168568704547
2019-03-29,0.31261251222559855
2019-04-01,0.3047287003221062
2019-04-02,0.296399253035496
2019-04-03,0.2883340312900994
2019-04-04,0.2812693129369075
2019-04-05,0.2742267820618548
2019-04-08,0.29798683930670494
2019-04-09,0.28962224983588536
2019-04-10,0.28563732109092466
2019-04-11,0.27922334286373696
2019-04-12,0.2724322249661372
2019-04-15,0.27892874573983945
2019-04-16,0.2737877710928667
2019-04-17,0.26733062450830436
2019-04-18,0.2677896794127809
2019-04-22,0.26608881148969793
2019-04-23,0.26908447446852074
2019-04-24,0.26315653896492863
2019-04-25,0.25889984009265055
2019-04-26,0.256300849003666
2019-04-29,0.2567685821902672
2019-04-30,0.2529230096294127
2019-05-01,0.2502797786478164
2019-05-02,0.2512539957891217
2019-05-03,0.24719162607175837
2019-05-06,0.24339078947240386
2019-05-07,0.2707555894159897
2019-05-08,0.2648428885207228
2019-05-09,0.2591444732190907
2019-05-10,0.25452247523548877
2019-05-13,0.30329517503580566
2019-05-14,0.29708550890274
2019-05-15,0.28965874818482523
2019-05-16,0.2842877943211773
2019-05-17,0.27918290778627547
2019-05-20,0.2732633652724053
2019-05-21,0.2801570009833772
2019-05-22,0.2844397756995319
2019-05-23,0.32170919041892476
2019-05-24,0.31172913819532494
2019-05-28,0.32385918050906015
2019-05-29,0.3173767137015569
2019-05-30,0.3080075499074657
2019-05-31,0.35621366341003824
2019-06-03,0.34372935923484915
2019-06-04,0.3442468195931518
2019-06-05,0.3429925019588621
2019-06-06,0.33215881863951774
2019-06-07,0.32218849700136726
2019-06-10,0.3120146131193217
2019-06-11,0.303076659609413
2019-06-12,0.29465588268351267
2019-06-13,0.30365589208839666
2019-06-14,0.3001549999583549
2019-06-17,0.29879277702113216
2019-06-18,0.29223399596898375
2019-06-19,0.2849306568272358
2019-06-20,0.27755845006052327
2019-06-21,0.27218374896382036
2019-06-24,0.2658704263358375
2019-06-25,0.26104724400000856
2019-06-26,0.25751510013977824
2019-06-27,0.2524363721811895
2019-06-28,0.24779806778907698
2019-07-01,0.24846490456400477
2019-07-02,0.24442056623778613
2019-07-03,0.2422747919202491
2019-07-05,0.2385278851623013
2019-07-08,0.2354657248943039
2019-07-09,0.23567309562188044
2019-07-10,0.23277961766443386
2019-07-11,0.2299088593334324
2019-07-12,0.23122374618537778
2019-07-15,0.22985596707503594
2019-07-16,0.23605964331075313
2019-07-17,0.2524472531044852
2019-07-18,0.24795158075721155
2019-07-19,0.24732681941107804
2019-07-22,0.24667345621286454
2019-07-23,0.25839232496341685
2019-07-24,0.2558418151905587
2019-07-25,0.2511538293556362
2019-07-26,0.2946266321974305
2019-07-29,0.288815981552268
2019-07-30,0.2830483958619091
2019-07-31,0.29440326628622854
2019-08-01,0.2921795352176466
